in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
3,0.2,-1.2,0.056725,264.894387,dy_43_dx_00.2_dy_0-1.2.png
-3,0.6,-1.2,0.0451,165.827111,dy_4-3_dx_00.6_dy_0-1.2.png
-1.8,0.6,-1.2,0.053037,138.765438,dy_4-1.8_dx_00.6_dy_0-1.2.png
-0.6,0.6,-1.2,0.086223,149.230306,dy_4-0.6_dx_00.6_dy_0-1.2.png
0.6,0.6,-1.2,0.097374,174.890913,dy_40.6_dx_00.6_dy_0-1.2.png
1.8,0.6,-1.2,0.060427,213.934764,dy_41.8_dx_00.6_dy_0-1.2.png
3,0.6,-1.2,0.058123,259.85631,dy_43_dx_00.6_dy_0-1.2.png
-3,1,-1.2,0.05138,151.867067,dy_4-3_dx_01_dy_0-1.2.png
-1.8,1,-1.2,0.052527,127.606983,dy_4-1.8_dx_01_dy_0-1.2.png
-0.6,1,-1.2,0.109995,127.549021,dy_4-0.6_dx_01_dy_0-1.2.png
0.6,1,-1.2,0.131128,140.605807,dy_40.6_dx_01_dy_0-1.2.png
1.8,1,-1.2,0.071277,166.77734,dy_41.8_dx_01_dy_0-1.2.png
3,1,-1.2,0.067302,199.741948,dy_43_dx_01_dy_0-1.2.png
-3,-1,-0.4,0.060638,208.186118,dy_4-3_dx_0-1_dy_0-0.4.png
-1.8,-1,-0.4,0.096422,176.926686,dy_4-1.8_dx_0-1_dy_0-0.4.png
-0.6,-1,-0.4,0.227446,166.302697,dy_4-0.6_dx_0-1_dy_0-0.4.png
0.6,-1,-0.4,0.113648,180.97768,dy_40.6_dx_0-1_dy_0-0.4.png
1.8,-1,-0.4,0.057024,214.660462,dy_41.8_dx_0-1_dy_0-0.4.png
3,-1,-0.4,0.0532,257.627133,dy_43_dx_0-1_dy_0-0.4.png
-3,-0.6,-0.4,0.050907,194.204781,dy_4-3_dx_0-0.6_dy_0-0.4.png
-1.8,-0.6,-0.4,0.090759,160.946408,dy_4-1.8_dx_0-0.6_dy_0-0.4.png
-0.6,-0.6,-0.4,0.181037,150.869803,dy_4-0.6_dx_0-0.6_dy_0-0.4.png
0.6,-0.6,-0.4,0.100378,167.678137,dy_40.6_dx_0-0.6_dy_0-0.4.png
1.8,-0.6,-0.4,0.055641,202.912365,dy_41.8_dx_0-0.6_dy_0-0.4.png
3,-0.6,-0.4,0.052934,246.848398,dy_43_dx_0-0.6_dy_0-0.4.png
-3,-0.2,-0.4,0.045101,183.186766,dy_4-3_dx_0-0.2_dy_0-0.4.png
-1.8,-0.2,-0.4,0.078782,147.282446,dy_4-1.8_dx_0-0.2_dy_0-0.4.png
-0.6,-0.2,-0.4,0.136863,138.026185,dy_4-0.6_dx_0-0.2_dy_0-0.4.png
0.6,-0.2,-0.4,0.093268,157.397238,dy_40.6_dx_0-0.2_dy_0-0.4.png
1.8,-0.2,-0.4,0.055927,194.127809,dy_41.8_dx_0-0.2_dy_0-0.4.png
3,-0.2,-0.4,0.053891,238.910989,dy_43_dx_0-0.2_dy_0-0.4.png
-3,0.2,-0.4,0.046086,174.924252,dy_4-3_dx_00.2_dy_0-0.4.png
-1.8,0.2,-0.4,0.059735,135.552523,dy_4-1.8_dx_00.2_dy_0-0.4.png
-0.6,0.2,-0.4,0.105298,127.59398,dy_4-0.6_dx_00.2_dy_0-0.4.png
0.6,0.2,-0.4,0.093375,149.849164,dy_40.6_dx_00.2_dy_0-0.4.png
1.8,0.2,-0.4,0.057901,187.867958,dy_41.8_dx_00.2_dy_0-0.4.png
3,0.2,-0.4,0.055905,233.315973,dy_43_dx_00.2_dy_0-0.4.png
-3,0.6,-0.4,0.051187,169.320892,dy_4-3_dx_00.6_dy_0-0.4.png
-1.8,0.6,-0.4,0.05166,125.833454,dy_4-1.8_dx_00.6_dy_0-0.4.png
-0.6,0.6,-0.4,0.0947,119.872558,dy_4-0.6_dx_00.6_dy_0-0.4.png
0.6,0.6,-0.4,0.101424,144.793188,dy_40.6_dx_00.6_dy_0-0.4.png
1.8,0.6,-0.4,0.06137,183.701514,dy_41.8_dx_00.6_dy_0-0.4.png
3,0.6,-0.4,0.058739,229.575829,dy_43_dx_00.6_dy_0-0.4.png
-3,1,-0.4,0.060001,148.996693,dy_4-3_dx_01_dy_0-0.4.png
-1.8,1,-0.4,0.059599,116.032085,dy_4-1.8_dx_01_dy_0-0.4.png
-0.6,1,-0.4,0.113712,107.2696,dy_4-0.6_dx_01_dy_0-0.4.png
0.6,1,-0.4,0.134411,120.326386,dy_40.6_dx_01_dy_0-0.4.png
1.8,1,-0.4,0.071912,146.497919,dy_41.8_dx_01_dy_0-0.4.png
3,1,-0.4,0.067702,179.462526,dy_43_dx_01_dy_0-0.4.png
-3,-1,0.4,0.051904,203.025428,dy_4-3_dx_0-1_dy_00.4.png
-1.8,-1,0.4,0.072565,165.888761,dy_4-1.8_dx_0-1_dy_00.4.png
-0.6,-1,0.4,0.39944,145.540973,dy_4-0.6_dx_0-1_dy_00.4.png
0.6,-1,0.4,0.159666,152.774014,dy_40.6_dx_0-1_dy_00.4.png
1.8,-1,0.4,0.056515,183.117606,dy_41.8_dx_0-1_dy_00.4.png
3,-1,0.4,0.050009,224.659481,dy_43_dx_0-1_dy_00.4.png
-3,-0.6,0.4,0.044718,191.741131,dy_4-3_dx_0-0.6_dy_00.4.png
-1.8,-0.6,0.4,0.056222,152.586714,dy_4-1.8_dx_0-0.6_dy_00.4.png
